ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
320,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.5,0.3,-0.3,0.96,21.1,0.78,15.8,166
321,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.5,0.3,0.1,0.94,19.6,0.77,14.2,166
322,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.6,1,21.7,0.758,16.6,167
323,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.59,0.18,0.11,1.07,19.3,0.76,15.7,168
324,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.61,0.16,0.35,0.89,20.3,0.62,11.2,168
325,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.075,21.296,0.664,15.2,169
326,0,0,1,132.905,1.81,1,0,207,1.18,1,0,0,1.82,0.8555992052,4.127818934,0.6483516484,2.4,0.8,0.5,0.859,8.55,0.57,4.21,170
327,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.6,0.3,0,0.98,22.61,0.77,17.06,171
328,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.6,0.2,0,0.91,19.61,0.71,12.67,171
329,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.45,0.06,0.11,1.06,22.35,0.75,17.78,172
330,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.45,0.06,0.35,1.04,20.15,0.72,15.09,172
331,0,0,1,132.905,1.81,1,0,207,1.18,0.33,0,0.67,1.9808,0.8480449209,4.26409012,0.5957189015,1.92,0.86,0.06,1.23,16.79,0.7781,16.07,173
332,0,0,1,132.905,1.81,1,0,207,1.18,1,0,0,1.82,0.8555992052,4.127818934,0.6483516484,2.3,0.4,0.8,1.27,6.97,0.785,6.95,174
333,0.17,0.83,0,42.00176,2.7747,1,0,207,1.18,0.17,0,0.83,2.0192,1.059577144,3.461318767,0.5843898574,1.56,0.63,0.02,1.12,21.06,0.704,16.6,175
